  Freq. No. =   1,  f = 6.0415e+03 (Hz),  k = (0.1832D+01, 0.0000D+00):
 Solution on the Boundary:
Elements: this line is just for fun 
1 ( -2.957584e+06 , -4.419648e+06 ) 
48 ( -1.186885e+06 , -1.943724e+06 ) 
49 ( -2.792415e+06 , -1.791646e+06 ) 
50 ( -2.201118e+06 , 6.913751e+05 ) 
51 ( 1.952446e+06 , 6.695881e+05 ) 
52 ( 3.217168e+06 , 5.252855e+06 ) 
53 ( 1.747976e+06 , 3.899127e+06 ) 
54 ( 1.410114e+06 , 3.385227e+06 ) 
55 ( 1.459213e+06 , 2.221675e+06 ) 
56 ( 3.488411e+06 , 1.474905e+06 ) 
57 ( 1.290160e+05 , -3.167189e+06 ) 
58 ( -2.385470e+05 , -4.183368e+06 ) 
59 ( -4.877505e+06 , -3.397851e+06 ) 
60 ( 1.538722e+05 , -3.656058e+06 ) 
61 ( -5.418661e+06 , -1.875913e+06 ) 
62 ( -4.985728e+06 , -1.197208e+06 ) 
63 ( -2.222449e+06 , -2.334030e+06 ) 
64 ( 4.241869e+05 , -3.149764e+06 ) 
65 ( -4.767374e+06 , -3.613668e+06 ) 
66 ( -2.439275e+06 , -2.744268e+06 ) 
67 ( -1.845413e+06 , -5.998363e+06 ) 
68 ( 1.222096e+05 , -3.745305e+06 ) 
69 ( -2.910513e+06 , -3.964054e+06 ) 
70 ( -2.098605e+06 , -3.268054e+06 ) 
71 ( -3.483521e+06 , -1.154451e+06 ) 
72 ( -2.446957e+06 , -3.044791e+06 ) 
73 ( 6.204358e+05 , -4.499504e+05 ) 
74 ( 2.782984e+06 , 8.751341e+06 ) 
75 ( 2.273460e+06 , 1.275116e+06 ) 
76 ( 1.972197e+06 , 8.878175e+06 ) 
77 ( 2.725516e+06 , 6.643206e+06 ) 
78 ( 3.620906e+06 , 1.283123e+06 ) 
79 ( 5.077878e+06 , 6.540617e+06 ) 
80 ( 2.106880e+06 , -2.213371e+06 ) 
81 ( -2.632887e+06 , -2.977668e+06 ) 
82 ( -1.531134e+06 , -4.537439e+06 ) 
83 ( -5.000449e+06 , -3.775116e+06 ) 
84 ( -2.237367e+06 , -7.047224e+05 ) 
85 ( -3.431382e+06 , -2.675790e+06 ) 
86 ( -1.253453e+06 , -1.599669e+06 ) 
87 ( -3.986111e+06 , -2.397095e+06 ) 
88 ( -2.805234e+06 , -1.404322e+06 ) 
89 ( 5.076460e+06 , 3.149246e+06 ) 
90 ( 3.402548e+06 , 1.049007e+06 ) 
91 ( 6.869275e+05 , 5.295465e+06 ) 
92 ( 5.162817e+06 , 2.072056e+06 ) 
93 ( -9.169730e+05 , 4.296012e+06 ) 
94 ( 2.156980e+06 , 4.614925e+06 ) 
95 ( 3.707612e+06 , 3.821310e+06 ) 
96 ( 1.403710e+06 , 2.197298e+06 ) 
97 ( 4.205203e+06 , 8.100148e+06 ) 
98 ( 3.283969e+06 , 5.078496e+06 ) 
99 ( 2.006064e+06 , 3.763837e+06 ) 
100 ( 4.075846e+06 , 7.498096e+06 ) 
101 ( 2.843823e+06 , 6.422531e+06 ) 
102 ( 1.913172e+06 , 9.220781e+05 ) 
103 ( 1.771072e+06 , 1.469778e+06 ) 
104 ( 3.357463e+06 , 6.597020e+06 ) 
105 ( -4.049591e+06 , -2.541815e+06 ) 
106 ( -1.856283e+06 , -3.395683e+06 ) 
107 ( -1.992036e+06 , -5.862238e+06 ) 
108 ( -2.283491e+06 , -4.390792e+05 ) 
109 ( -1.941618e+06 , -3.406971e+06 ) 
110 ( -1.340701e+06 , -5.782482e+06 ) 
111 ( -2.059052e+06 , -3.598268e+06 ) 
112 ( -1.626570e+06 , -2.729358e+06 ) 
113 ( 1.558173e+06 , 3.760478e+06 ) 
114 ( 1.546613e+06 , 6.361768e+06 ) 
115 ( 1.767151e+06 , 5.859622e+06 ) 
116 ( 2.975749e+06 , 2.384834e+06 ) 
117 ( 2.957955e+06 , 1.044792e+06 ) 
118 ( 3.409749e+06 , -8.434751e+05 ) 
119 ( 6.501370e+05 , 2.902668e+06 ) 
120 ( 1.153161e+06 , 4.788515e+06 ) 
121 ( -3.435635e+06 , -2.684417e+06 ) 
122 ( -4.368330e+06 , -4.031270e+06 ) 
123 ( -2.725509e+06 , -1.730963e+06 ) 
124 ( -2.534808e+06 , -2.604926e+06 ) 
125 ( -2.282770e+06 , -5.767678e+06 ) 
126 ( -1.708854e+06 , -6.570679e+06 ) 
127 ( -1.145027e+06 , -2.267601e+06 ) 
128 ( -4.344384e+06 , -4.827483e+06 ) 
129 ( -2.542831e+06 , -8.880013e+05 ) 
130 ( -2.644245e+06 , -5.948008e+06 ) 
131 ( -6.273220e+05 , -7.664772e+06 ) 
132 ( -1.679331e+06 , -6.740959e+06 ) 
133 ( -2.981058e+06 , -6.108012e+05 ) 
134 ( -2.396772e+06 , -3.841897e+06 ) 
135 ( -3.456532e+06 , -7.082206e+06 ) 
136 ( -4.072163e+06 , -5.797816e+06 ) 
137 ( 3.096352e+06 , 1.043746e+06 ) 
138 ( 1.096769e+06 , 5.924329e+06 ) 
139 ( 1.240848e+06 , 5.006512e+06 ) 
140 ( 2.910264e+06 , -6.596721e+05 ) 
141 ( 7.260344e+04 , 2.636517e+06 ) 
142 ( 9.476441e+05 , 1.383915e+06 ) 
143 ( -1.514263e+06 , 6.286429e+06 ) 
144 ( -1.042038e+06 , 6.503379e+06 ) 
145 ( -1.738805e+06 , -2.578678e+05 ) 
146 ( -9.676671e+05 , -3.079012e+06 ) 
147 ( 1.008514e+06 , -1.801697e+06 ) 
148 ( 4.670239e+05 , -1.610577e+06 ) 
149 ( -1.769321e+06 , -6.277339e+06 ) 
150 ( 9.719556e+04 , -4.945642e+06 ) 
151 ( -1.510151e+06 , -5.676088e+06 ) 
152 ( -1.825944e+06 , -5.577681e+06 ) 
153 ( 2.172998e+05 , 5.362363e+06 ) 
154 ( -3.219474e+06 , 7.713712e+06 ) 
155 ( 9.467028e+05 , 4.269752e+06 ) 
156 ( 3.342229e+06 , -4.308803e+05 ) 
157 ( -2.375597e+06 , 3.958215e+06 ) 
158 ( 5.567402e+05 , 2.102333e+06 ) 
159 ( -1.740783e+06 , 4.788887e+06 ) 
160 ( -5.088090e+06 , 7.396910e+06 ) 
161 ( 3.079368e+06 , 1.274718e+06 ) 
162 ( 3.108183e+06 , 6.102946e+06 ) 
163 ( -4.706911e+05 , 3.347523e+06 ) 
164 ( 2.559941e+06 , 1.598321e+06 ) 
165 ( 4.351836e+06 , 2.939106e+06 ) 
166 ( 4.450305e+06 , 3.524304e+06 ) 
167 ( 1.631986e+06 , 6.038275e+06 ) 
168 ( 3.219750e+06 , 7.460518e+06 ) 
169 ( 1.351000e+06 , -5.263821e+06 ) 
170 ( 1.731958e+06 , -3.184338e+06 ) 
171 ( -1.246174e+06 , -1.236150e+06 ) 
172 ( 9.891811e+05 , 2.269675e+05 ) 
173 ( -2.105198e+06 , -5.408642e+06 ) 
174 ( -9.800507e+05 , -9.792858e+05 ) 
175 ( 1.905016e+06 , -5.722080e+05 ) 
176 ( 9.782382e+05 , -3.183881e+06 ) 
177 ( 6.488711e+05 , 5.784050e+06 ) 
178 ( 5.310373e+04 , 6.903117e+06 ) 
179 ( 1.428536e+06 , 1.104665e+06 ) 
180 ( 2.494354e+06 , 1.447012e+06 ) 
181 ( -1.580134e+06 , 6.754823e+06 ) 
182 ( 2.690517e+06 , 1.682078e+06 ) 
183 ( 2.920204e+06 , 2.975838e+06 ) 
184 ( -8.643486e+05 , 7.447250e+06 ) 
185 ( -2.579593e+06 , -4.422119e+06 ) 
186 ( -8.282646e+05 , -4.718620e+06 ) 
187 ( 6.941508e+05 , -3.831151e+06 ) 
188 ( -1.259992e+06 , -2.150672e+06 ) 
189 ( -1.433828e+06 , -1.257402e+06 ) 
190 ( 7.040693e+04 , -2.992385e+06 ) 
191 ( -1.206496e+06 , -3.320824e+06 ) 
192 ( -1.548479e+06 , -3.747644e+06 ) 
193 ( -4.574070e+06 , -5.435942e+06 ) 
194 ( -3.036878e+06 , -3.952940e+06 ) 
195 ( -5.298908e+06 , -2.207810e+06 ) 
196 ( -4.417687e+06 , -2.012252e+06 ) 
197 ( 5.344749e+06 , -8.505667e+05 ) 
198 ( 2.141398e+06 , 2.170385e+06 ) 
199 ( 3.472718e+06 , 2.938286e+06 ) 
200 ( 1.998135e+06 , -1.537729e+06 ) 
201 ( -1.604471e+06 , -3.250885e+06 ) 
202 ( -1.966984e+06 , -8.748749e+05 ) 
203 ( -1.913606e+06 , 1.315024e+06 ) 
204 ( -2.568821e+06 , 1.173685e+06 ) 
205 ( 1.825944e+06 , 4.140375e+06 ) 
206 ( 1.291422e+06 , 5.899956e+06 ) 
207 ( 1.082141e+06 , 2.996634e+06 ) 
208 ( 2.970425e+06 , 8.987107e+05 ) 
209 ( 8.132859e+05 , 4.069990e+06 ) 
210 ( 3.722181e+06 , -1.161861e+05 ) 
211 ( 2.261897e+06 , 1.843164e+06 ) 
212 ( 7.021308e+05 , 5.498834e+06 ) 
213 ( -5.461141e+06 , 1.252796e+06 ) 
214 ( -5.445469e+06 , 2.592947e+05 ) 
215 ( 3.031678e+05 , -1.897793e+06 ) 
216 ( -3.787928e+04 , -1.609853e+06 ) 
217 ( -2.979889e+06 , 2.533947e+06 ) 
218 ( -6.109261e+05 , -3.567241e+06 ) 
219 ( 2.842699e+06 , -1.516842e+06 ) 
220 ( -1.579453e+06 , 5.873246e+05 ) 
221 ( -2.442215e+06 , -2.975299e+06 ) 
222 ( -1.314505e+06 , -3.243554e+06 ) 
223 ( -2.934533e+06 , -5.276156e+06 ) 
224 ( -3.934971e+06 , -5.409158e+06 ) 
225 ( 4.356464e+06 , -3.673322e+05 ) 
226 ( -6.954256e+05 , -1.911563e+06 ) 
227 ( -3.025809e+05 , 3.325604e+05 ) 
228 ( 2.617782e+06 , -1.169116e+06 ) 
229 ( -3.132323e+06 , -2.734466e+06 ) 
230 ( -3.941106e+06 , -4.239094e+06 ) 
231 ( 1.778163e+06 , -4.518976e+06 ) 
232 ( -1.626837e+06 , -3.928834e+06 ) 
233 ( 1.516300e+06 , 7.173432e+05 ) 
234 ( 1.815589e+06 , 8.017082e+05 ) 
235 ( -3.271119e+06 , 6.009040e+05 ) 
236 ( -4.004646e+06 , -2.160588e+06 ) 
237 ( 3.377148e+06 , -2.363869e+06 ) 
238 ( -1.258302e+06 , -7.912441e+05 ) 
239 ( -2.858691e+05 , 1.549682e+06 ) 
240 ( 2.791116e+06 , 4.868771e+05 ) 
241 ( -9.743680e+05 , -2.369208e+06 ) 
242 ( -4.781543e+04 , -6.820967e+05 ) 
243 ( 7.816246e+05 , 1.048680e+06 ) 
244 ( -4.323200e+05 , -7.518261e+05 ) 
245 ( -2.548447e+06 , -1.797172e+06 ) 
246 ( -3.214315e+06 , 1.251467e+06 ) 
247 ( 1.484119e+06 , -9.576349e+03 ) 
248 ( 2.304838e+06 , -8.481924e+05 ) 
249 ( -3.256505e+06 , 1.825122e+05 ) 
250 ( 4.336808e+05 , 1.069981e+06 ) 
251 ( 4.341485e+05 , 5.756797e+05 ) 
252 ( -4.806122e+05 , 1.186947e+06 ) 
253 ( 2.620432e+06 , 3.371892e+06 ) 
254 ( 2.259979e+06 , 1.737302e+06 ) 
255 ( 1.166992e+06 , 4.321157e+05 ) 
256 ( 1.642877e+06 , 1.804560e+06 ) 
257 ( -1.165395e+06 , -7.643534e+05 ) 
258 ( 2.013426e+06 , -7.259863e+05 ) 
259 ( 1.526155e+06 , -1.678198e+06 ) 
260 ( 1.712410e+06 , 4.495114e+05 ) 
261 ( 1.443169e+06 , 3.413180e+06 ) 
262 ( -8.110204e+05 , 3.224937e+06 ) 
263 ( -1.614503e+06 , 6.604196e+05 ) 
264 ( 5.727106e+05 , 5.900377e+05 ) 
265 ( 1.514343e+04 , 1.514815e+06 ) 
266 ( 1.373726e+06 , -1.034018e+06 ) 
267 ( -3.044291e+05 , -3.467602e+05 ) 
268 ( -6.919735e+05 , 2.455977e+06 ) 
269 ( -2.462301e+06 , 1.619643e+06 ) 
270 ( -3.095688e+06 , 1.954907e+06 ) 
271 ( 9.000577e+05 , -5.678009e+05 ) 
272 ( 2.153937e+06 , -1.143105e+06 ) 
273 ( -8.261052e+05 , 1.423066e+06 ) 
274 ( -7.742519e+05 , 2.936286e+05 ) 
275 ( -1.935595e+06 , 2.427830e+06 ) 
276 ( -4.257736e+06 , 2.589253e+06 ) 
277 ( 2.761758e+06 , -8.212852e+05 ) 
278 ( 6.098228e+05 , 3.199646e+06 ) 
279 ( -9.202619e+05 , 1.690649e+06 ) 
280 ( 1.682005e+06 , -2.339582e+05 ) 
281 ( 3.110517e+06 , 1.283855e+06 ) 
282 ( 2.356573e+06 , 3.577225e+06 ) 
283 ( -1.568698e+06 , 6.848635e+06 ) 
284 ( 4.767724e+05 , 4.997966e+06 ) 
285 ( 1.580850e+06 , -2.525645e+06 ) 
286 ( 4.526112e+05 , 2.251246e+06 ) 
287 ( 1.117229e+06 , 3.142719e+06 ) 
288 ( 2.804174e+06 , 1.775661e+06 ) 
289 ( -9.309722e+05 , 2.724048e+06 ) 
290 ( -9.264453e+05 , 4.502927e+06 ) 
291 ( -1.910616e+06 , 5.608311e+06 ) 
292 ( -1.358201e+06 , 4.061155e+06 ) 
293 ( 2.716860e+06 , -1.915811e+06 ) 
294 ( 3.516411e+06 , 4.045683e+05 ) 
295 ( 1.586614e+06 , 2.331679e+06 ) 
296 ( 9.340367e+05 , 2.673640e+06 ) 
297 ( -1.219170e+06 , 1.876756e+06 ) 
298 ( -4.915178e+05 , 3.159454e+06 ) 
299 ( 8.073138e+05 , 2.002869e+06 ) 
300 ( 1.468010e+06 , 1.216427e+06 ) 
301 ( -1.210216e+06 , 2.395290e+06 ) 
302 ( -2.121602e+06 , 1.397210e+06 ) 
303 ( -3.477863e+05 , 8.586189e+05 ) 
304 ( -6.551671e+05 , 2.827966e+06 ) 
305 ( -1.309201e+05 , 1.883052e+06 ) 
306 ( 1.633595e+06 , 1.887514e+06 ) 
307 ( -3.238719e+05 , 1.608688e+06 ) 
308 ( -7.054541e+05 , 1.497535e+06 ) 
309 ( 1.351118e+06 , -3.590903e+05 ) 
310 ( -3.302566e+06 , -1.743975e+06 ) 
311 ( 7.490036e+03 , 2.186020e+05 ) 
312 ( 1.445630e+06 , 9.868214e+05 ) 
313 ( -9.478944e+05 , 5.091986e+04 ) 
314 ( -8.837199e+05 , 2.709521e+05 ) 
315 ( -3.706859e+06 , -7.525595e+05 ) 
316 ( -3.536714e+06 , -2.032151e+06 ) 
317 ( -7.223342e+05 , 1.418119e+06 ) 
318 ( 9.713902e+05 , 3.499291e+06 ) 
319 ( 2.488457e+06 , 3.731951e+06 ) 
320 ( 3.763890e+05 , 1.994645e+06 ) 
321 ( 1.060942e+06 , 1.187389e+05 ) 
322 ( -1.409660e+06 , -2.512460e+05 ) 
323 ( 1.116711e+06 , 9.083380e+05 ) 
324 ( -1.064889e+06 , 1.005099e+04 ) 
325 ( -1.627285e+06 , -9.284009e+05 ) 
326 ( -1.926487e+06 , -1.198121e+06 ) 
327 ( -2.289813e+06 , 2.372806e+05 ) 
328 ( -2.566739e+05 , -7.394761e+05 ) 
329 ( -4.216441e+06 , -2.570682e+06 ) 
330 ( -5.004529e+05 , -2.781764e+06 ) 
331 ( -6.230613e+05 , -1.517977e+06 ) 
332 ( -2.100161e+06 , -1.759330e+06 ) 
333 ( 1.733866e+06 , -4.321388e+05 ) 
334 ( 9.045458e+05 , 1.304631e+06 ) 
335 ( 1.013587e+06 , 5.275347e+05 ) 
336 ( 2.081474e+06 , -2.007720e+06 ) 
337 ( -4.680074e+06 , -2.503321e+05 ) 
338 ( 2.461243e+06 , -7.117863e+05 ) 
339 ( 1.693442e+05 , 2.119843e+06 ) 
340 ( -1.652180e+06 , 1.804853e+06 ) 
341 ( 3.463363e+06 , -7.666675e+05 ) 
342 ( 7.689492e+03 , 9.923178e+05 ) 
343 ( -4.474392e+06 , -1.467496e+06 ) 
344 ( 2.865029e+06 , -1.563119e+06 ) 
345 ( 1.069430e+04 , 2.968520e+06 ) 
346 ( 2.300804e+06 , 1.640750e+06 ) 
347 ( 2.969188e+06 , 2.323836e+06 ) 
348 ( 1.270621e+06 , 2.671203e+06 ) 
349 ( -4.981425e+05 , 7.004887e+05 ) 
350 ( -1.049813e+06 , -7.956937e+05 ) 
351 ( -7.346181e+05 , -2.563547e+06 ) 
352 ( 1.671833e+06 , -2.128833e+05 ) 
353 ( -2.859284e+06 , 5.277236e+06 ) 
354 ( -1.323941e+06 , 1.910719e+06 ) 
355 ( 1.602320e+06 , -6.901554e+05 ) 
356 ( -1.466063e+06 , 6.298736e+05 ) 
357 ( 2.804148e+05 , 2.201363e+06 ) 
358 ( 6.929624e+05 , -7.658534e+05 ) 
359 ( -1.279577e+06 , -1.763889e+06 ) 
360 ( -8.324163e+05 , 9.115807e+05 ) 
361 ( -6.780413e+05 , 3.711683e+06 ) 
362 ( 2.682881e+05 , 1.524930e+06 ) 
363 ( 2.226322e+06 , -1.042798e+06 ) 
364 ( 1.242587e+06 , -2.408024e+05 ) 
365 ( -3.815397e+05 , 2.025148e+06 ) 
366 ( -2.146035e+06 , 6.680478e+05 ) 
367 ( -1.446301e+06 , 9.177336e+05 ) 
368 ( -6.940320e+05 , 1.572866e+06 ) 
369 ( -1.868424e+05 , 1.072165e+06 ) 
370 ( 8.549276e+04 , 8.741208e+05 ) 
371 ( -1.718815e+06 , 1.458253e+06 ) 
372 ( -2.159110e+06 , 5.741935e+05 ) 
373 ( 1.593768e+06 , 1.048903e+05 ) 
374 ( 1.472879e+06 , 3.615370e+05 ) 
375 ( 1.397592e+06 , 1.626176e+06 ) 
376 ( 1.514623e+06 , 7.170302e+05 ) 
377 ( -2.498256e+05 , 1.461742e+06 ) 
378 ( -1.206775e+06 , 2.387490e+06 ) 
379 ( -2.169629e+06 , 1.789964e+06 ) 
380 ( 7.842730e+04 , 7.866253e+05 ) 
381 ( 5.359026e+05 , 1.567589e+06 ) 
382 ( 1.624478e+06 , 2.302387e+06 ) 
383 ( 1.514717e+06 , 2.736031e+06 ) 
384 ( -1.606720e+05 , 2.776661e+06 ) 
385 ( -4.838695e+05 , 6.525136e+05 ) 
386 ( 5.616158e+05 , 2.015291e+06 ) 
387 ( 2.384726e+05 , 2.649099e+06 ) 
388 ( 1.264046e+06 , 2.016782e+06 ) 
389 ( 3.224259e+06 , 2.761139e+06 ) 
390 ( 2.193680e+06 , -5.226534e+05 ) 
391 ( 5.782066e+05 , -2.736026e+05 ) 
392 ( 1.358375e+06 , 1.780532e+06 ) 
393 ( 6.193183e+05 , 4.608999e+05 ) 
394 ( 2.252382e+06 , 1.419587e+06 ) 
395 ( 1.219729e+05 , 1.519765e+06 ) 
396 ( 1.346741e+06 , 1.928055e+06 ) 
397 ( 1.865820e+06 , 1.494462e+06 ) 
398 ( -1.727336e+05 , 1.575719e+06 ) 
399 ( 7.607123e+05 , 7.702227e+05 ) 
400 ( 2.451603e+06 , 1.423043e+06 ) 
401 ( -6.789061e+05 , 1.765130e+06 ) 
402 ( 2.129310e+06 , 2.653070e+06 ) 
403 ( -1.127154e+06 , 2.684784e+06 ) 
404 ( -2.031327e+06 , 2.098818e+06 ) 
405 ( 2.767745e+06 , -3.768294e+05 ) 
406 ( 7.028463e+05 , -7.873831e+05 ) 
407 ( 2.286933e+06 , 3.283415e+05 ) 
408 ( 5.033139e+06 , 1.713675e+06 ) 
409 ( -2.209150e+05 , 1.179032e+06 ) 
410 ( -1.126758e+06 , 2.847539e+06 ) 
411 ( -5.781003e+05 , 5.928499e+05 ) 
412 ( -5.873185e+06 , -4.855934e+05 ) 
413 ( 1.148660e+06 , 2.583674e+06 ) 
414 ( 2.662838e+06 , -5.067474e+05 ) 
415 ( 2.935450e+06 , 1.247305e+06 ) 
416 ( 1.102905e+06 , 3.395481e+06 ) 
417 ( -1.071014e+06 , -2.616849e+06 ) 
418 ( -4.827604e+06 , -2.478970e+06 ) 
419 ( -2.848128e+06 , -3.294233e+06 ) 
420 ( -4.857393e+06 , -2.828281e+06 ) 
421 ( 1.843842e+06 , 1.496335e+06 ) 
422 ( -1.452814e+06 , 1.224190e+06 ) 
423 ( 1.299570e+06 , 1.152238e+06 ) 
424 ( 5.937417e+06 , -5.050760e+05 ) 
425 ( -6.785994e+06 , -2.205583e+06 ) 
426 ( 6.796414e+05 , -5.679463e+05 ) 
427 ( -5.574396e+05 , 1.352732e+06 ) 
428 ( 5.642907e+05 , 4.189985e+05 ) 
429 ( 4.712838e+06 , -5.627224e+05 ) 
430 ( 4.542297e+06 , 2.452337e+06 ) 
431 ( 3.043498e+06 , 3.412979e+06 ) 
432 ( 3.817652e+06 , 2.927682e+05 ) 
433 ( -5.478674e+06 , -7.193212e+05 ) 
434 ( -7.609157e+04 , 1.396463e+06 ) 
435 ( -2.106629e+06 , 4.175417e+06 ) 
436 ( -5.199510e+05 , 2.552276e+06 ) 
437 ( 2.231530e+06 , -6.127553e+05 ) 
438 ( -5.611886e+04 , 1.942946e+06 ) 
439 ( -7.799275e+05 , 3.237172e+06 ) 
440 ( 2.623570e+05 , 1.144885e+06 ) 
441 ( -5.405248e+05 , 1.747730e+06 ) 
442 ( 1.234311e+06 , 2.778158e+06 ) 
443 ( 1.148784e+06 , 2.819432e+06 ) 
444 ( 2.226967e+05 , 2.464186e+06 ) 
445 ( -9.515573e+05 , 2.474167e+06 ) 
446 ( 1.012018e+04 , 2.574116e+06 ) 
447 ( 1.905313e+06 , 1.121212e+06 ) 
448 ( 1.384714e+06 , 2.669241e+06 ) 
449 ( 3.760212e+05 , 2.747646e+06 ) 
450 ( -1.514767e+03 , 2.737156e+06 ) 
451 ( 4.767703e+05 , 1.546705e+06 ) 
452 ( -7.208622e+04 , 2.684320e+06 ) 
453 ( -2.612344e+06 , 1.801219e+06 ) 
454 ( -1.663283e+06 , 8.124941e+05 ) 
455 ( -8.315381e+05 , 1.554713e+06 ) 
456 ( -8.451197e+05 , 2.353000e+06 ) 
457 ( 1.660827e+06 , 1.700783e+06 ) 
458 ( 2.142282e+06 , 8.856870e+05 ) 
459 ( 8.915232e+05 , -6.969296e+05 ) 
460 ( -7.941775e+04 , 2.448103e+05 ) 
461 ( -7.441628e+05 , 2.721789e+06 ) 
462 ( -3.091125e+06 , 2.613175e+06 ) 
463 ( -8.277579e+05 , 2.248302e+06 ) 
464 ( 1.073626e+06 , 1.813390e+06 ) 
465 ( -1.087034e+06 , -2.724754e+04 ) 
466 ( 6.363506e+05 , 1.011527e+06 ) 
467 ( -1.068763e+06 , 2.683433e+06 ) 
468 ( -3.239117e+06 , 2.086321e+06 ) 
469 ( 1.517619e+06 , -1.798232e+05 ) 
470 ( 1.508476e+06 , 3.747623e+06 ) 
471 ( 1.932275e+06 , 3.525979e+06 ) 
472 ( 2.292595e+06 , 1.429008e+06 ) 
473 ( -1.266789e+06 , 3.416987e+05 ) 
474 ( -2.600455e+06 , 9.043885e+05 ) 
475 ( -7.165637e+05 , 9.131159e+05 ) 
476 ( -1.216467e+06 , -1.068363e+06 ) 
477 ( -1.940087e+06 , 1.604696e+06 ) 
478 ( -1.862814e+06 , 2.174954e+06 ) 
479 ( -1.727432e+06 , 3.726938e+06 ) 
480 ( -3.083897e+06 , 1.968335e+06 ) 
481 ( -2.040694e+04 , 3.311196e+05 ) 
482 ( -2.348760e+05 , 5.182630e+05 ) 
483 ( 2.820406e+05 , 1.177559e+06 ) 
484 ( -7.504154e+05 , 1.321086e+06 ) 
485 ( -1.609515e+06 , 2.304017e+06 ) 
486 ( -1.648452e+06 , 2.439982e+06 ) 
487 ( -8.615568e+04 , 2.120725e+06 ) 
488 ( -7.500492e+05 , 1.211237e+06 ) 
489 ( 6.837911e+04 , 4.789963e+05 ) 
490 ( -1.306069e+06 , 5.000053e+05 ) 
491 ( -1.852224e+06 , 1.954371e+06 ) 
492 ( -1.670761e+06 , 1.986128e+06 ) 
493 ( -4.075232e+05 , 5.012736e+05 ) 
494 ( 3.347432e+05 , 1.812966e+06 ) 
495 ( 4.033538e+05 , 2.365498e+06 ) 
496 ( -8.114948e+05 , 6.010770e+05 ) 
497 ( 2.172409e+06 , 9.576926e+05 ) 
498 ( 2.083149e+05 , 9.284242e+05 ) 
499 ( -1.613387e+06 , 1.982121e+06 ) 
500 ( 4.342525e+05 , 1.858458e+06 ) 
501 ( 6.754534e+05 , -1.393220e+06 ) 
502 ( 1.547159e+06 , 2.125400e+06 ) 
503 ( -1.345483e+04 , 3.709123e+06 ) 
504 ( 3.192488e+05 , 9.092573e+05 ) 
505 ( 5.236931e+05 , 1.835423e+06 ) 
506 ( -1.167974e+06 , 2.146410e+06 ) 
507 ( 4.458410e+05 , 2.528687e+06 ) 
508 ( 1.354977e+06 , 2.546329e+06 ) 
509 ( -1.713652e+06 , 2.094474e+06 ) 
510 ( -1.030435e+06 , 1.558388e+06 ) 
511 ( 1.796264e+05 , 8.534261e+05 ) 
