  Freq. No. =   1,  f = 8.7415e+03 (Hz),  k = (0.1832D+01, 0.0000D+00):
 Solution on the Boundary:
Elements: this line is just for fun 
1 ( 2.094650e+06 , 1.095560e+07 ) 
42 ( 1.354059e+07 , -5.313797e+06 ) 
43 ( -7.109478e+06 , 1.538881e+06 ) 
44 ( -7.381150e+06 , -3.098465e+06 ) 
45 ( -3.062457e+07 , -2.884605e+06 ) 
46 ( -2.328471e+07 , 7.151412e+06 ) 
47 ( -2.119855e+07 , -3.646460e+06 ) 
48 ( -8.275448e+06 , 1.520139e+07 ) 
49 ( 7.756595e+06 , -8.398974e+06 ) 
50 ( 2.665625e+06 , -1.146247e+07 ) 
51 ( -4.212875e+06 , -1.878527e+07 ) 
52 ( -8.214923e+05 , -1.322985e+07 ) 
53 ( -1.451512e+06 , -1.966280e+07 ) 
54 ( -8.074423e+06 , -5.812361e+06 ) 
55 ( 2.779545e+06 , -2.281901e+06 ) 
56 ( -5.200766e+05 , -9.379673e+06 ) 
57 ( -3.109308e+05 , 2.655522e+06 ) 
58 ( -1.531272e+07 , -1.753028e+07 ) 
59 ( 1.834289e+06 , 3.113458e+06 ) 
60 ( 7.107306e+06 , 6.966553e+06 ) 
61 ( 3.295123e+06 , 1.204809e+06 ) 
62 ( -1.842904e+07 , -2.136445e+07 ) 
63 ( 5.637211e+06 , -3.941289e+05 ) 
64 ( 1.427149e+06 , -8.395276e+06 ) 
65 ( 8.143550e+06 , 2.525919e+06 ) 
66 ( -1.400970e+07 , 1.247801e+07 ) 
67 ( -2.192655e+04 , -3.451851e+06 ) 
68 ( -3.327755e+07 , 3.604235e+07 ) 
69 ( -1.056354e+06 , -2.889263e+06 ) 
70 ( -6.587153e+06 , -1.172686e+07 ) 
71 ( 4.138677e+06 , 3.034530e+05 ) 
72 ( 6.219037e+06 , 2.871035e+06 ) 
73 ( -5.641647e+06 , -1.236132e+06 ) 
74 ( 4.391503e+06 , 1.049788e+07 ) 
75 ( -6.430460e+06 , 4.849888e+06 ) 
76 ( 3.294162e+06 , 7.147856e+05 ) 
77 ( 3.618687e+06 , 3.162231e+05 ) 
78 ( 4.765521e+06 , 7.176831e+06 ) 
79 ( -2.539686e+06 , 6.401376e+05 ) 
80 ( -1.673845e+07 , -9.340555e+06 ) 
81 ( -7.840002e+06 , -8.371857e+06 ) 
82 ( -9.008389e+06 , -1.317199e+06 ) 
83 ( -9.985913e+05 , -1.140050e+06 ) 
84 ( 1.455227e+06 , 5.394009e+06 ) 
85 ( 5.265184e+06 , 6.038752e+06 ) 
86 ( 5.773648e+06 , -3.610823e+06 ) 
87 ( 2.136989e+06 , 5.150117e+06 ) 
88 ( 9.834464e+06 , -6.407788e+06 ) 
89 ( 1.799129e+07 , -4.459835e+07 ) 
90 ( -2.014857e+07 , -1.803810e+06 ) 
91 ( 1.236997e+07 , 3.865178e+06 ) 
92 ( -1.048211e+07 , -2.911880e+05 ) 
93 ( 1.175361e+07 , 4.295939e+06 ) 
94 ( -1.770073e+07 , 4.392601e+06 ) 
95 ( 6.372278e+06 , 9.952475e+06 ) 
96 ( -3.835942e+06 , -3.477254e+06 ) 
97 ( 8.564270e+05 , 1.246629e+07 ) 
98 ( 1.220870e+06 , 1.370308e+06 ) 
99 ( -1.480902e+07 , -4.011627e+06 ) 
100 ( 4.952657e+06 , 6.919851e+06 ) 
101 ( -6.605775e+05 , 5.661076e+06 ) 
102 ( 7.330021e+06 , 8.263727e+06 ) 
103 ( 5.034726e+06 , 7.523582e+05 ) 
104 ( -1.015855e+07 , 5.620932e+06 ) 
105 ( -1.358762e+06 , 7.546690e+06 ) 
106 ( 4.814979e+06 , -1.616669e+06 ) 
107 ( -9.715814e+06 , 1.433049e+06 ) 
108 ( 2.395842e+06 , 1.248522e+07 ) 
109 ( -5.984953e+06 , 5.329630e+06 ) 
110 ( 1.883165e+06 , -3.426595e+06 ) 
111 ( 1.863123e+07 , -6.574731e+06 ) 
112 ( 4.832557e+06 , -2.019768e+06 ) 
113 ( 1.622359e+06 , 1.983812e+06 ) 
114 ( 6.498932e+06 , -1.758791e+07 ) 
115 ( -3.877427e+06 , -1.276084e+07 ) 
116 ( 5.025919e+06 , 8.815548e+06 ) 
117 ( 1.964599e+07 , 1.046506e+07 ) 
118 ( 5.362895e+06 , -1.194087e+07 ) 
119 ( -2.766665e+07 , -2.338696e+07 ) 
120 ( 1.162295e+07 , -2.166476e+07 ) 
121 ( 1.173182e+07 , 1.391727e+07 ) 
122 ( -5.939921e+05 , -9.446731e+05 ) 
123 ( -1.043206e+06 , -2.033152e+07 ) 
124 ( 1.378393e+07 , -8.650887e+06 ) 
125 ( 5.512048e+06 , 8.123508e+06 ) 
126 ( 5.907632e+06 , -1.737586e+07 ) 
127 ( 3.696832e+06 , -7.397523e+06 ) 
128 ( -3.475215e+06 , 2.504116e+06 ) 
129 ( 6.466215e+06 , 2.128491e+06 ) 
130 ( -1.049062e+07 , -2.110081e+07 ) 
131 ( -3.346815e+07 , -2.169236e+07 ) 
132 ( -1.278587e+07 , -3.243961e+07 ) 
133 ( 2.224503e+07 , 4.700522e+06 ) 
134 ( 1.281127e+06 , -2.006008e+06 ) 
135 ( 6.314382e+06 , 9.187918e+06 ) 
136 ( 1.342863e+07 , -1.358482e+06 ) 
137 ( 4.714557e+06 , -1.050110e+06 ) 
138 ( 2.093198e+07 , -1.802586e+07 ) 
139 ( -1.160706e+07 , -1.278609e+07 ) 
140 ( -6.667225e+06 , -1.442196e+07 ) 
141 ( -3.362158e+06 , -1.841379e+07 ) 
142 ( -1.868666e+07 , -2.429297e+07 ) 
143 ( -2.392757e+07 , -1.180370e+07 ) 
144 ( 2.544589e+06 , -2.272992e+07 ) 
145 ( -1.371503e+07 , 1.311909e+07 ) 
146 ( 1.276423e+07 , 1.793456e+07 ) 
147 ( 1.495610e+06 , 7.014616e+05 ) 
148 ( 7.608062e+06 , -1.090836e+06 ) 
149 ( -1.830559e+07 , -1.801307e+07 ) 
150 ( -2.291099e+06 , -4.936529e+06 ) 
151 ( 3.178668e+07 , -1.146729e+07 ) 
152 ( 1.111859e+07 , 5.306633e+06 ) 
153 ( 5.311513e+05 , 5.379164e+06 ) 
154 ( 1.504478e+07 , 2.577989e+07 ) 
155 ( -4.233387e+06 , 2.317542e+07 ) 
156 ( 5.634263e+05 , 1.309673e+07 ) 
157 ( -2.359275e+07 , 9.267071e+06 ) 
158 ( 1.693353e+07 , 2.081796e+07 ) 
159 ( 3.763015e+07 , -1.081041e+07 ) 
160 ( 1.956631e+07 , 2.366524e+07 ) 
161 ( -2.544723e+06 , -5.014563e+06 ) 
162 ( 6.432114e+06 , 2.360704e+06 ) 
163 ( 1.486808e+07 , -2.218635e+06 ) 
164 ( 1.309849e+07 , 1.437298e+07 ) 
165 ( 9.144627e+06 , -3.751363e+06 ) 
166 ( 2.082504e+07 , -5.333854e+06 ) 
167 ( 3.016683e+06 , -3.902612e+07 ) 
168 ( 3.253472e+06 , -9.776193e+06 ) 
169 ( -4.984103e+05 , 2.207308e+07 ) 
170 ( 1.525963e+07 , 1.105870e+07 ) 
171 ( 4.983240e+06 , 5.216624e+06 ) 
172 ( 2.910533e+07 , 2.120642e+07 ) 
173 ( 1.935640e+07 , 7.704202e+06 ) 
174 ( 6.088140e+06 , 6.289466e+06 ) 
175 ( -2.433136e+06 , -4.269726e+07 ) 
176 ( 2.074758e+07 , -1.495570e+07 ) 
177 ( -1.239710e+07 , 9.461619e+06 ) 
178 ( 4.391309e+06 , 1.002634e+07 ) 
179 ( 9.350758e+06 , 8.041635e+06 ) 
180 ( 3.830270e+06 , 2.186492e+07 ) 
181 ( 2.727059e+06 , 1.063298e+07 ) 
182 ( 3.087732e+07 , -1.396135e+06 ) 
183 ( 1.192313e+07 , -1.889521e+07 ) 
184 ( 1.410741e+07 , 5.751617e+06 ) 
185 ( -7.313462e+06 , 1.788983e+07 ) 
186 ( -7.682791e+06 , 3.004159e+06 ) 
187 ( 2.891042e+06 , -2.017957e+07 ) 
188 ( 2.363702e+07 , -2.598511e+06 ) 
189 ( 4.398446e+06 , 3.453219e+06 ) 
190 ( 3.148578e+06 , 3.752596e+06 ) 
191 ( 4.825514e+06 , 1.330595e+07 ) 
192 ( -2.355850e+06 , 2.493170e+06 ) 
193 ( -2.636692e+07 , 2.203648e+06 ) 
194 ( 1.849806e+06 , -1.479654e+07 ) 
195 ( 2.725062e+07 , -1.706960e+07 ) 
196 ( 6.799910e+06 , 5.004631e+06 ) 
197 ( -2.321078e+07 , -2.914915e+06 ) 
198 ( -2.377706e+07 , 3.847300e+06 ) 
199 ( 1.225180e+07 , 2.591777e+07 ) 
200 ( 5.517526e+05 , -5.781196e+06 ) 
201 ( 2.624060e+07 , -2.846240e+07 ) 
202 ( 1.367978e+06 , -2.664622e+06 ) 
203 ( -2.193884e+07 , -6.928565e+06 ) 
204 ( -2.957521e+07 , -2.272132e+07 ) 
205 ( -2.098637e+07 , 1.671384e+07 ) 
206 ( -1.773064e+07 , -5.987771e+05 ) 
207 ( 1.221372e+07 , 3.738844e+07 ) 
208 ( -1.057294e+07 , 3.054476e+07 ) 
209 ( 2.413593e+06 , -3.976761e+07 ) 
210 ( -2.291316e+07 , -5.904778e+06 ) 
211 ( 2.137142e+07 , 2.815420e+07 ) 
212 ( -2.997633e+07 , -1.791273e+07 ) 
213 ( -3.904407e+06 , -1.038588e+07 ) 
214 ( -2.590654e+07 , 2.615158e+07 ) 
215 ( -8.070863e+06 , 1.679552e+07 ) 
216 ( -2.336957e+07 , -4.109933e+06 ) 
217 ( -5.080458e+06 , -2.428919e+07 ) 
218 ( -1.262179e+07 , 1.252615e+07 ) 
219 ( 3.435299e+07 , 2.200440e+07 ) 
220 ( 5.679940e+06 , 3.150074e+07 ) 
221 ( -1.585054e+07 , 3.222207e+06 ) 
222 ( 2.277295e+07 , 1.312058e+07 ) 
223 ( 1.643922e+07 , 2.781808e+07 ) 
224 ( -1.010829e+07 , 2.576267e+07 ) 
225 ( -3.979916e+07 , -3.724284e+07 ) 
226 ( 3.465335e+07 , 4.594820e+06 ) 
227 ( 1.724510e+07 , -1.601782e+07 ) 
228 ( -1.663336e+07 , -1.104152e+07 ) 
229 ( -1.466220e+06 , -1.482484e+06 ) 
230 ( -3.810519e+06 , 2.291903e+06 ) 
231 ( -4.905642e+07 , -2.262246e+07 ) 
232 ( 1.913488e+07 , 5.249124e+06 ) 
233 ( -3.341587e+07 , -1.934438e+07 ) 
234 ( -2.467736e+07 , -4.122089e+07 ) 
235 ( 6.391501e+07 , 1.931842e+06 ) 
236 ( 2.640764e+07 , 1.515263e+07 ) 
237 ( -3.509491e+07 , -3.298426e+07 ) 
238 ( 6.175242e+07 , -2.129392e+07 ) 
239 ( 2.991282e+07 , -5.559925e+07 ) 
240 ( -3.343537e+07 , -6.244599e+07 ) 
241 ( 9.585621e+06 , 6.190931e+06 ) 
242 ( 2.426407e+07 , -6.024091e+06 ) 
243 ( -4.819647e+07 , -8.586109e+07 ) 
244 ( -1.596494e+07 , -2.877699e+07 ) 
245 ( -1.767740e+07 , 3.192892e+07 ) 
246 ( -1.513982e+07 , 3.541462e+07 ) 
247 ( 5.838019e+07 , 4.213724e+07 ) 
248 ( 2.438654e+07 , 4.441182e+07 ) 
249 ( 3.816054e+07 , 4.228756e+07 ) 
250 ( 3.053562e+07 , 8.424705e+07 ) 
251 ( -3.219560e+07 , 1.078820e+07 ) 
252 ( -1.526704e+07 , 1.405590e+07 ) 
253 ( -3.505801e+06 , 5.197363e+07 ) 
254 ( -3.860015e+07 , 5.192939e+07 ) 
255 ( 1.719190e+07 , 4.428870e+07 ) 
256 ( 1.473675e+07 , 9.303981e+07 ) 
257 ( 2.879793e+05 , -5.536065e+06 ) 
258 ( -3.880048e+07 , 1.560534e+07 ) 
259 ( 3.398889e+07 , 5.619653e+07 ) 
260 ( -1.211983e+07 , 4.122650e+07 ) 
261 ( 5.838833e+07 , 3.125443e+07 ) 
262 ( 1.289220e+07 , 5.579296e+07 ) 
263 ( -7.143116e+07 , 3.483760e+07 ) 
264 ( -4.490959e+07 , 1.119038e+07 ) 
265 ( 6.007463e+06 , 2.488711e+07 ) 
266 ( -1.342334e+07 , 2.137811e+07 ) 
267 ( -9.144484e+06 , 3.218345e+07 ) 
268 ( 8.696871e+06 , 5.828217e+07 ) 
269 ( 4.007670e+07 , 1.854676e+07 ) 
270 ( -1.400981e+07 , -1.993358e+07 ) 
271 ( -3.702535e+07 , 1.649243e+07 ) 
272 ( -5.025494e+06 , 1.136256e+07 ) 
273 ( 4.710505e+07 , 1.867042e+07 ) 
274 ( 3.246384e+06 , -1.284335e+07 ) 
275 ( -5.780512e+07 , -5.196922e+06 ) 
276 ( -2.944811e+07 , -2.592618e+07 ) 
277 ( 1.720284e+07 , -9.766637e+06 ) 
278 ( 5.991100e+06 , -4.164752e+07 ) 
279 ( -7.612186e+06 , -8.394635e+06 ) 
280 ( -2.831932e+07 , -2.255707e+07 ) 
281 ( 4.474605e+06 , -3.207754e+07 ) 
282 ( 7.842002e+06 , -7.681112e+07 ) 
283 ( -1.253353e+07 , -2.165393e+07 ) 
284 ( -2.956004e+07 , -5.077624e+07 ) 
285 ( -1.140833e+07 , -3.131424e+07 ) 
286 ( -3.188165e+06 , -7.930538e+07 ) 
287 ( -5.101794e+06 , -2.193035e+07 ) 
288 ( -2.667161e+07 , -7.092369e+07 ) 
289 ( -6.912929e+06 , -6.076623e+07 ) 
290 ( 4.024533e+06 , -6.142664e+07 ) 
291 ( -1.920419e+07 , -4.061032e+07 ) 
292 ( -3.112995e+07 , -9.135586e+07 ) 
293 ( -2.167570e+07 , -6.107970e+07 ) 
294 ( 3.753320e+05 , -7.902595e+07 ) 
295 ( 2.610995e+06 , -5.119147e+07 ) 
296 ( 5.780207e+06 , -6.255360e+07 ) 
297 ( 7.904929e+06 , -2.532322e+07 ) 
298 ( -3.084002e+07 , -6.196348e+07 ) 
299 ( -3.197959e+06 , -3.985988e+07 ) 
300 ( -4.325816e+06 , -5.740868e+07 ) 
301 ( 1.638052e+07 , -5.754101e+07 ) 
302 ( 5.199200e+06 , -1.563146e+07 ) 
303 ( -9.399701e+06 , -3.343602e+07 ) 
304 ( -2.151155e+07 , -6.790456e+07 ) 
305 ( -3.534552e+07 , -8.684105e+07 ) 
306 ( 2.474176e+06 , -3.549852e+07 ) 
307 ( 3.486844e+07 , -1.172603e+07 ) 
308 ( -5.376534e+06 , -2.113411e+07 ) 
309 ( -4.520453e+07 , 1.444776e+07 ) 
310 ( -3.072678e+07 , -2.264141e+07 ) 
311 ( 1.009553e+07 , -1.838318e+07 ) 
312 ( 1.762543e+07 , -7.047950e+06 ) 
313 ( -2.911651e+07 , -5.894468e+07 ) 
314 ( -1.349665e+07 , -9.851349e+06 ) 
315 ( 5.116287e+07 , -1.119352e+06 ) 
316 ( 1.881583e+07 , -4.296390e+07 ) 
317 ( -1.336993e+07 , 6.547295e+06 ) 
318 ( 1.940330e+07 , 2.639486e+07 ) 
319 ( 1.610864e+07 , -1.957751e+07 ) 
320 ( -8.869421e+06 , 7.323427e+06 ) 
321 ( -1.442796e+07 , -2.808656e+07 ) 
322 ( -1.604697e+07 , -1.358319e+07 ) 
323 ( 3.930541e+06 , 3.495001e+06 ) 
324 ( 2.794356e+07 , -1.545510e+05 ) 
325 ( -5.495666e+06 , -2.558147e+06 ) 
326 ( -2.325004e+06 , -2.663183e+07 ) 
327 ( 7.136366e+07 , 3.128339e+07 ) 
328 ( 2.916828e+06 , 1.112614e+06 ) 
329 ( 3.873148e+07 , 4.013202e+07 ) 
330 ( 4.681954e+07 , 3.417498e+07 ) 
331 ( -6.537900e+07 , -6.034684e+06 ) 
332 ( -4.225835e+07 , -2.574734e+07 ) 
333 ( -5.854511e+06 , 4.123116e+07 ) 
334 ( 6.878791e+06 , 4.186624e+07 ) 
335 ( 1.848982e+05 , 3.525851e+07 ) 
336 ( 5.942611e+07 , 4.269278e+07 ) 
337 ( -2.228151e+07 , 1.678241e+07 ) 
338 ( -1.080518e+07 , 6.583108e+06 ) 
339 ( 3.085529e+07 , 3.105762e+07 ) 
340 ( 4.673060e+07 , 3.278504e+07 ) 
341 ( 2.274338e+07 , 5.882952e+07 ) 
342 ( 3.661612e+07 , 8.574646e+07 ) 
343 ( -1.072972e+06 , 4.259232e+07 ) 
344 ( 3.812465e+07 , 3.304230e+07 ) 
345 ( 1.513663e+07 , 5.462256e+07 ) 
346 ( 2.011436e+07 , 8.517871e+07 ) 
347 ( 1.163337e+07 , 3.243152e+07 ) 
348 ( 3.241325e+07 , 8.122345e+07 ) 
349 ( 3.022431e+07 , 4.760959e+07 ) 
350 ( 9.154554e+06 , 6.098584e+07 ) 
351 ( -5.482893e+05 , 2.937127e+07 ) 
352 ( 2.092872e+06 , 7.984328e+07 ) 
353 ( 2.044613e+07 , 5.561880e+07 ) 
354 ( 9.057538e+06 , 6.475876e+07 ) 
355 ( -8.596469e+05 , 4.348030e+07 ) 
356 ( -2.238360e+07 , 7.255807e+07 ) 
357 ( 3.459868e+07 , 4.363677e+07 ) 
358 ( 2.082418e+07 , 4.153184e+07 ) 
359 ( -1.985083e+07 , -2.172259e+06 ) 
360 ( -2.266537e+07 , 4.891181e+07 ) 
361 ( 2.967598e+07 , 8.279925e+06 ) 
362 ( 1.350443e+07 , 6.143555e+06 ) 
363 ( -4.185686e+06 , -7.133228e+06 ) 
364 ( -5.966475e+06 , 2.683881e+07 ) 
365 ( 7.782061e+06 , -8.574909e+06 ) 
366 ( 5.224444e+06 , -9.016537e+06 ) 
367 ( -1.212645e+07 , -6.841189e+05 ) 
368 ( -4.081967e+07 , 1.006613e+07 ) 
369 ( 3.290644e+07 , -2.359564e+07 ) 
370 ( 2.265010e+07 , -3.223827e+07 ) 
371 ( -2.807171e+07 , -1.998915e+07 ) 
372 ( -1.728992e+07 , -1.933621e+07 ) 
373 ( 1.050009e+07 , -4.875393e+07 ) 
374 ( -2.655873e+06 , -6.837669e+07 ) 
375 ( -2.773785e+07 , -2.962215e+07 ) 
376 ( -8.884611e+06 , -4.831870e+07 ) 
377 ( 1.161017e+07 , -3.400696e+07 ) 
378 ( 3.126245e+06 , -5.968187e+07 ) 
379 ( -1.900661e+07 , -4.144755e+07 ) 
380 ( -2.186078e+07 , -6.834152e+07 ) 
381 ( -8.778678e+06 , -5.611402e+07 ) 
382 ( -1.265799e+07 , -7.905575e+07 ) 
383 ( -1.501944e+07 , -2.646738e+07 ) 
384 ( -1.353752e+07 , -6.054403e+07 ) 
385 ( 6.594472e+06 , -1.499027e+07 ) 
386 ( -3.545401e+07 , -4.554481e+07 ) 
387 ( -3.325870e+07 , -3.852543e+07 ) 
388 ( -1.067416e+07 , -6.701687e+07 ) 
389 ( -9.401803e+06 , -7.743829e+07 ) 
390 ( -2.297214e+07 , -5.290446e+07 ) 
391 ( 3.338033e+06 , -2.999666e+07 ) 
392 ( -9.273576e+06 , -7.002772e+07 ) 
393 ( -3.406933e+07 , -3.993124e+07 ) 
394 ( -6.046856e+06 , -2.699757e+07 ) 
395 ( -2.449322e+06 , -1.978270e+07 ) 
396 ( 1.701222e+06 , -4.038403e+07 ) 
397 ( -2.379941e+07 , -5.296857e+06 ) 
398 ( -4.515148e+07 , -2.413299e+07 ) 
399 ( 1.537367e+07 , -3.498142e+07 ) 
400 ( 3.312635e+07 , -2.375300e+07 ) 
401 ( 1.763060e+07 , 4.813174e+07 ) 
402 ( -1.285313e+07 , 2.196209e+07 ) 
403 ( -1.271682e+07 , -2.228291e+07 ) 
404 ( -6.262606e+06 , 4.004402e+05 ) 
405 ( -3.228124e+07 , 1.723171e+07 ) 
406 ( 1.104260e+07 , 3.168781e+07 ) 
407 ( 3.504530e+07 , 2.272084e+07 ) 
408 ( 2.905980e+07 , 2.871289e+07 ) 
409 ( -4.221457e+07 , 2.560781e+07 ) 
410 ( -2.907565e+07 , 4.360220e+07 ) 
411 ( 3.434847e+07 , -6.143103e+06 ) 
412 ( 5.197696e+06 , 1.181995e+07 ) 
413 ( -8.781045e+06 , 5.904968e+07 ) 
414 ( -2.164340e+07 , 4.039730e+07 ) 
415 ( 2.956849e+07 , 2.501754e+07 ) 
416 ( -3.917167e+06 , 7.000870e+07 ) 
417 ( -4.886009e+07 , 2.304707e+07 ) 
418 ( -1.252362e+07 , 5.679089e+06 ) 
419 ( 6.311404e+07 , 4.299685e+07 ) 
420 ( 2.071105e+07 , 3.558160e+07 ) 
421 ( -3.886788e+07 , -3.090244e+07 ) 
422 ( 1.345648e+07 , -2.016802e+07 ) 
423 ( 3.369739e+07 , -2.071006e+07 ) 
424 ( -1.203737e+07 , -3.585398e+07 ) 
425 ( -2.384515e+07 , -8.736719e+06 ) 
426 ( 6.358135e+06 , -2.703883e+07 ) 
427 ( 9.087271e+06 , -1.041955e+05 ) 
428 ( 1.633799e+07 , -2.221074e+06 ) 
429 ( 9.413692e+06 , 1.567199e+07 ) 
430 ( 2.152841e+07 , 1.887982e+07 ) 
431 ( -1.480506e+07 , 2.123347e+07 ) 
432 ( 2.111838e+07 , -9.616772e+06 ) 
433 ( -1.564526e+07 , -1.943606e+07 ) 
434 ( -6.978818e+06 , 3.065676e+07 ) 
435 ( 1.425829e+07 , 2.696620e+07 ) 
436 ( 4.545726e+07 , 3.832041e+06 ) 
437 ( -4.029498e+06 , 1.337575e+07 ) 
438 ( -8.618127e+06 , 4.838091e+07 ) 
439 ( 2.770666e+06 , 5.852701e+07 ) 
440 ( 2.949620e+07 , 5.219741e+07 ) 
441 ( 3.690361e+07 , 1.202482e+07 ) 
442 ( 1.075350e+07 , 4.517651e+07 ) 
443 ( -1.449795e+07 , 5.959776e+07 ) 
444 ( 2.268652e+07 , 4.487412e+07 ) 
445 ( 1.072281e+06 , 1.862867e+07 ) 
446 ( -5.736529e+06 , 7.897589e+07 ) 
447 ( -4.866892e+06 , 9.356286e+07 ) 
448 ( 6.978834e+06 , 5.729155e+07 ) 
449 ( 2.751043e+07 , 3.965174e+07 ) 
450 ( 2.257265e+07 , 8.465279e+07 ) 
451 ( 8.624036e+06 , 1.895698e+07 ) 
452 ( 1.207765e+07 , 7.191012e+07 ) 
453 ( 2.592122e+07 , 2.820566e+07 ) 
454 ( -1.201981e+07 , 5.519272e+07 ) 
455 ( -2.657030e+07 , 5.935459e+07 ) 
456 ( -5.346426e+06 , 9.071827e+07 ) 
457 ( 4.750080e+07 , 4.508045e+07 ) 
458 ( 1.505309e+07 , 6.748026e+07 ) 
459 ( -2.694478e+07 , 1.808193e+07 ) 
460 ( -1.748162e+07 , 5.506699e+07 ) 
461 ( 3.319111e+07 , 2.656449e+06 ) 
462 ( 1.402420e+07 , 2.810745e+07 ) 
463 ( -1.924389e+07 , 1.654118e+07 ) 
464 ( -1.078884e+07 , 4.674042e+07 ) 
465 ( 4.548176e+07 , 1.804435e+07 ) 
466 ( -3.490474e+06 , -2.953190e+06 ) 
467 ( -4.208714e+07 , 4.764617e+06 ) 
468 ( -1.727562e+07 , 3.266647e+07 ) 
469 ( 2.553704e+07 , 1.771809e+06 ) 
470 ( 1.081743e+07 , -2.210762e+07 ) 
471 ( -2.662823e+07 , -9.115708e+06 ) 
472 ( -2.789244e+07 , -2.297315e+07 ) 
473 ( 1.662381e+06 , -1.446559e+07 ) 
474 ( 1.627175e+07 , -4.215049e+07 ) 
475 ( -1.579996e+07 , -2.186433e+07 ) 
476 ( -3.852914e+07 , -2.869290e+07 ) 
477 ( 7.105868e+06 , -1.721230e+07 ) 
478 ( -1.904623e+07 , -3.618665e+07 ) 
479 ( -2.016363e+07 , -4.327931e+07 ) 
480 ( -4.798452e+06 , -4.810558e+07 ) 
481 ( 1.941554e+07 , -2.539261e+07 ) 
482 ( 2.477150e+07 , -3.167501e+07 ) 
483 ( -2.015909e+07 , -5.312046e+07 ) 
484 ( -2.738711e+07 , -3.589017e+07 ) 
485 ( -2.063778e+07 , -3.679266e+07 ) 
486 ( -2.759826e+06 , -5.733321e+07 ) 
487 ( 2.312310e+06 , -1.584345e+07 ) 
488 ( 1.296260e+07 , -2.234334e+07 ) 
489 ( -1.391196e+07 , -2.419827e+07 ) 
490 ( -1.696981e+07 , -4.219629e+07 ) 
491 ( 1.954047e+07 , -4.707031e+07 ) 
492 ( 3.382300e+06 , -7.156338e+07 ) 
493 ( -2.022388e+07 , -2.403884e+07 ) 
494 ( -1.290995e+07 , -2.237556e+07 ) 
495 ( 3.542115e+06 , -2.241312e+07 ) 
496 ( -1.577175e+07 , -3.482526e+07 ) 
497 ( -2.256287e+07 , -2.038412e+07 ) 
498 ( -2.769295e+07 , -4.118863e+07 ) 
499 ( 1.609721e+07 , -6.257018e+06 ) 
500 ( 8.625678e+06 , -1.875826e+07 ) 
501 ( -1.950535e+07 , 2.363855e+07 ) 
502 ( -4.230394e+07 , 1.190273e+07 ) 
503 ( 2.082239e+07 , -6.654717e+06 ) 
504 ( -5.382404e+06 , -2.834611e+07 ) 
505 ( -5.327686e+06 , 2.814521e+06 ) 
506 ( -2.540264e+07 , 2.855952e+07 ) 
507 ( 2.106851e+07 , 8.416212e+06 ) 
508 ( -1.162448e+07 , 8.187916e+06 ) 
509 ( -2.315891e+07 , 2.041228e+07 ) 
510 ( -2.507800e+07 , 3.164535e+07 ) 
511 ( 7.264914e+06 , 3.598361e+07 ) 
