  Freq. No. =   1,  f = 6.0418e+03 (Hz),  k = (0.1832D+01, 0.0000D+00):
 Solution on the Boundary:
Elements: this line is just for fun 
1 ( 3.678731e+06 , -4.713562e+06 ) 
37 ( -7.881975e+05 , -1.051293e+06 ) 
38 ( 2.958061e+06 , 7.120191e+05 ) 
39 ( 1.789674e+05 , 1.856238e+06 ) 
40 ( 5.041812e+05 , -8.542075e+05 ) 
41 ( -2.752514e+06 , -7.561456e+05 ) 
42 ( 3.468610e+06 , 1.941474e+06 ) 
43 ( -1.814116e+06 , 6.764385e+04 ) 
44 ( -4.011045e+06 , -2.570183e+06 ) 
45 ( -3.703882e+06 , -9.220123e+05 ) 
46 ( -1.692820e+06 , -9.597580e+05 ) 
47 ( 2.898909e+06 , 2.162265e+06 ) 
48 ( 4.200893e+06 , 2.942651e+06 ) 
49 ( 1.957908e+06 , -4.794092e+05 ) 
50 ( 5.843231e+06 , 4.393656e+06 ) 
51 ( -2.434407e+06 , -1.839661e+06 ) 
52 ( -1.869422e+06 , -1.334097e+06 ) 
53 ( -2.134811e+06 , -2.427538e+06 ) 
54 ( 3.356294e+06 , -2.742104e+05 ) 
55 ( 4.204170e+06 , 2.313501e+06 ) 
56 ( 5.583724e+06 , 6.728272e+06 ) 
57 ( -2.785813e+06 , -9.362095e+05 ) 
58 ( 2.207889e+06 , -9.724275e+05 ) 
59 ( -3.137704e+06 , -2.428604e+06 ) 
60 ( -2.727105e+06 , -3.640722e+06 ) 
61 ( -1.935848e+06 , -1.984807e+06 ) 
62 ( 1.031858e+06 , -4.386627e+05 ) 
63 ( 1.638164e+06 , 2.066147e+06 ) 
64 ( 4.177720e+06 , 2.019099e+06 ) 
65 ( 1.518150e+06 , 2.214974e+06 ) 
66 ( 1.215507e+06 , 1.988455e+06 ) 
67 ( -7.491471e+05 , -7.900038e+02 ) 
68 ( 3.465948e+06 , 5.994418e+04 ) 
69 ( -1.133007e+06 , -2.414495e+06 ) 
70 ( -1.168762e+06 , -1.558208e+05 ) 
71 ( 9.083474e+05 , 1.869904e+06 ) 
72 ( -3.365342e+06 , 1.416089e+06 ) 
73 ( 5.492807e+06 , 8.882012e+05 ) 
74 ( 1.374798e+06 , 4.698636e+06 ) 
75 ( 3.346002e+06 , 1.738809e+06 ) 
76 ( 3.159239e+05 , 5.118057e+06 ) 
77 ( -1.726194e+06 , -4.514546e+06 ) 
78 ( -2.020126e+06 , 3.414887e+05 ) 
79 ( -1.974267e+06 , -5.167933e+06 ) 
80 ( -4.152893e+06 , -1.287886e+06 ) 
81 ( 1.442177e+06 , -3.665431e+05 ) 
82 ( 5.298739e+06 , -4.688035e+05 ) 
83 ( 1.930120e+06 , 6.872790e+05 ) 
84 ( 3.081650e+06 , 1.296162e+06 ) 
85 ( -3.041494e+06 , -4.338029e+04 ) 
86 ( -1.266097e+06 , -2.860638e+05 ) 
87 ( -4.559059e+06 , -3.333794e+06 ) 
88 ( -1.859717e+06 , -1.407741e+06 ) 
89 ( 1.286206e+06 , -2.295865e+06 ) 
90 ( 9.664704e+05 , 8.952765e+05 ) 
91 ( 2.796998e+06 , 1.155155e+06 ) 
92 ( 2.970371e+06 , 2.531197e+06 ) 
93 ( -1.299961e+06 , -8.466336e+05 ) 
94 ( -3.233012e+06 , -4.267021e+06 ) 
95 ( -1.385697e+06 , -6.706346e+05 ) 
96 ( -2.149347e+06 , -1.645172e+06 ) 
97 ( -4.760169e+05 , -1.846145e+06 ) 
98 ( 2.256583e+06 , 1.001845e+06 ) 
99 ( -3.518380e+06 , -4.505480e+06 ) 
100 ( -4.779705e+05 , -2.889086e+06 ) 
101 ( -4.414663e+05 , 1.615497e+05 ) 
102 ( 1.955634e+06 , -1.024290e+06 ) 
103 ( 1.380019e+06 , -5.030481e+05 ) 
104 ( 2.523425e+06 , 6.127950e+05 ) 
105 ( -3.492425e+06 , -5.696282e+05 ) 
106 ( 3.493370e+06 , 1.383704e+06 ) 
107 ( -6.960723e+05 , -1.432546e+06 ) 
108 ( -1.532547e+06 , -1.611915e+06 ) 
109 ( -3.178495e+06 , -6.814210e+05 ) 
110 ( 4.177957e+06 , 1.288667e+06 ) 
111 ( 1.324580e+06 , 1.931645e+06 ) 
112 ( 2.553261e+06 , 2.107958e+06 ) 
113 ( -3.612699e+06 , -6.545433e+05 ) 
114 ( -3.717392e+06 , 6.297641e+05 ) 
115 ( -3.345528e+06 , -1.483152e+06 ) 
116 ( -1.896101e+06 , -3.939834e+06 ) 
117 ( 4.216448e+06 , 1.952655e+06 ) 
118 ( 4.755906e+06 , -7.147887e+04 ) 
119 ( 3.728156e+06 , 1.578660e+06 ) 
120 ( 2.575731e+06 , 2.090602e+06 ) 
121 ( -2.524881e+06 , -1.562686e+06 ) 
122 ( -3.787527e+06 , -1.397426e+06 ) 
123 ( -2.965533e+06 , -2.136843e+06 ) 
124 ( -2.800050e+05 , -1.773681e+06 ) 
125 ( 1.563457e+06 , 2.221127e+06 ) 
126 ( 3.247382e+06 , 1.752991e+06 ) 
127 ( 6.815345e+05 , 9.208082e+05 ) 
128 ( -4.366145e+05 , 2.517495e+05 ) 
129 ( 2.065022e+06 , -3.431155e+05 ) 
130 ( 7.358834e+05 , -1.186472e+06 ) 
131 ( 1.785510e+05 , 4.634027e+04 ) 
132 ( 3.302222e+06 , 9.053580e+05 ) 
133 ( -3.783158e+06 , -2.065609e+06 ) 
134 ( -2.732470e+06 , -3.302029e+05 ) 
135 ( -3.512602e+06 , 1.324292e+06 ) 
136 ( -3.368137e+06 , -1.266195e+06 ) 
137 ( 5.668534e+06 , -2.915608e+05 ) 
138 ( 3.015494e+06 , -4.668269e+05 ) 
139 ( 1.934885e+06 , 3.967225e+05 ) 
140 ( 3.167564e+06 , -1.259185e+05 ) 
141 ( -4.073085e+06 , -2.138746e+06 ) 
142 ( -3.706483e+06 , -9.228762e+05 ) 
143 ( -3.341427e+06 , 1.087387e+06 ) 
144 ( -3.461258e+06 , -6.794071e+05 ) 
145 ( 2.395185e+06 , 4.278245e+06 ) 
146 ( 1.955249e+06 , 4.737249e+06 ) 
147 ( 4.675217e+06 , 3.670229e+06 ) 
148 ( 3.166995e+06 , 3.221864e+06 ) 
149 ( -4.198373e+06 , -1.957433e+06 ) 
150 ( -3.898355e+06 , -1.369304e+06 ) 
151 ( -3.370972e+06 , 1.579144e+04 ) 
152 ( -4.183894e+06 , 2.398232e+06 ) 
153 ( 1.281604e+06 , 7.832831e+04 ) 
154 ( 1.891763e+06 , 2.848869e+06 ) 
155 ( 4.254978e+06 , 2.514655e+06 ) 
156 ( 1.361235e+06 , -3.159600e+05 ) 
157 ( -1.381254e+06 , 1.174354e+06 ) 
158 ( -2.274375e+06 , -2.001064e+06 ) 
159 ( -1.979436e+06 , -2.104754e+06 ) 
160 ( -1.569569e+06 , 2.057040e+06 ) 
161 ( -1.326078e+06 , -1.510252e+06 ) 
162 ( 3.255651e+06 , 6.924886e+05 ) 
163 ( 3.367738e+05 , -7.967790e+05 ) 
164 ( -1.565467e+06 , -2.301836e+06 ) 
165 ( -1.700230e+06 , 5.935796e+05 ) 
166 ( -2.021182e+06 , -5.945367e+05 ) 
167 ( 2.909649e+06 , 1.065516e+06 ) 
168 ( 3.610973e+06 , 1.367229e+06 ) 
169 ( -4.008988e+06 , 1.971831e+05 ) 
170 ( 4.088874e+06 , 1.297027e+06 ) 
171 ( -3.652739e+06 , -9.006822e+05 ) 
172 ( -6.530985e+06 , -1.071406e+06 ) 
173 ( -1.386726e+05 , 2.536246e+06 ) 
174 ( 4.104352e+06 , 9.939670e+04 ) 
175 ( 8.309435e+06 , -8.847732e+05 ) 
176 ( 7.603266e+06 , 2.185965e+06 ) 
177 ( -4.285728e+06 , 3.728902e+05 ) 
178 ( -3.371989e+06 , 4.495842e+05 ) 
179 ( -4.785341e+06 , -3.219765e+06 ) 
180 ( -3.104579e+06 , -1.165272e+06 ) 
181 ( 3.439614e+06 , 2.693970e+06 ) 
182 ( 4.568478e+06 , 1.932410e+06 ) 
183 ( 5.769624e+06 , 1.869269e+06 ) 
184 ( 3.614154e+06 , 2.184406e+06 ) 
185 ( -1.170745e+06 , -6.009801e+05 ) 
186 ( -3.779926e+06 , -1.223962e+06 ) 
187 ( -4.079464e+06 , -1.441144e+06 ) 
188 ( -8.468613e+05 , 1.757588e+05 ) 
189 ( 1.283131e+06 , -7.401832e+05 ) 
190 ( -3.079873e+05 , 5.543867e+05 ) 
191 ( -8.834193e+05 , 3.527399e+06 ) 
192 ( -8.708820e+05 , -3.099440e+05 ) 
193 ( -4.529641e+06 , -7.872668e+05 ) 
194 ( -3.421496e+06 , 6.712121e+05 ) 
195 ( -3.416209e+06 , 4.134279e+06 ) 
196 ( -6.436607e+06 , 1.974734e+06 ) 
197 ( 4.027426e+06 , 1.021228e+06 ) 
198 ( 2.820621e+06 , -2.391221e+06 ) 
199 ( -2.802845e+06 , -1.925305e+06 ) 
200 ( -3.560604e+06 , -1.272716e+05 ) 
201 ( 2.176932e+06 , -1.095745e+06 ) 
202 ( 2.595659e+06 , -5.988004e+05 ) 
203 ( -1.432386e+06 , -2.371684e+06 ) 
204 ( -2.879037e+05 , -2.977171e+06 ) 
205 ( 3.499879e+06 , 2.399488e+06 ) 
206 ( 7.591335e+05 , 7.955979e+05 ) 
207 ( -4.397735e+06 , 1.982807e+06 ) 
208 ( -4.757684e+05 , 1.320441e+06 ) 
209 ( -5.864762e+05 , -3.863970e+06 ) 
210 ( 1.178265e+06 , -4.834563e+06 ) 
211 ( -5.366223e+05 , -2.973184e+06 ) 
212 ( 1.589646e+06 , -1.841046e+06 ) 
213 ( -2.664167e+05 , -6.546929e+05 ) 
214 ( 3.395004e+06 , 2.273660e+06 ) 
215 ( -1.899335e+06 , 5.742428e+05 ) 
216 ( -1.146349e+06 , -3.138666e+06 ) 
217 ( 3.869228e+06 , 1.698007e+06 ) 
218 ( 1.048466e+06 , 7.479036e+05 ) 
219 ( -4.210338e+06 , 1.999307e+06 ) 
220 ( 3.355542e+06 , 3.042449e+06 ) 
221 ( -2.030493e+06 , -1.156356e+06 ) 
222 ( 1.709065e+06 , -1.071296e+06 ) 
223 ( 9.534152e+05 , 3.638765e+05 ) 
224 ( 3.780665e+05 , -2.356901e+05 ) 
225 ( 1.720225e+06 , -3.347976e+06 ) 
226 ( -1.957226e+06 , -5.619712e+06 ) 
227 ( -1.065104e+07 , -3.148038e+06 ) 
228 ( -2.577029e+06 , -2.302945e+06 ) 
229 ( -3.503118e+06 , -4.528742e+06 ) 
230 ( 5.232953e+05 , -1.207202e+06 ) 
231 ( 2.742599e+06 , -1.054230e+06 ) 
232 ( 3.366513e+05 , -5.535502e+06 ) 
233 ( 2.320549e+06 , 7.851654e+05 ) 
234 ( -1.860413e+06 , -8.531435e+05 ) 
235 ( -1.915446e+06 , 5.779924e+05 ) 
236 ( 4.646427e+05 , 4.430210e+05 ) 
237 ( -1.639349e+06 , -1.185125e+06 ) 
238 ( 1.531240e+06 , 2.362841e+06 ) 
239 ( -1.507918e+06 , -3.054932e+05 ) 
240 ( -2.648099e+06 , -1.659115e+06 ) 
241 ( -4.198830e+05 , 6.861618e+06 ) 
242 ( 7.551259e+05 , 8.604611e+06 ) 
243 ( 2.168595e+06 , 7.114962e+06 ) 
244 ( 9.169421e+06 , 6.027108e+06 ) 
245 ( -1.806202e+05 , 1.959170e+06 ) 
246 ( 2.738935e+06 , -2.524327e+04 ) 
247 ( -9.164626e+05 , 2.217647e+06 ) 
248 ( 3.509679e+06 , 6.452895e+06 ) 
249 ( -2.907555e+06 , -2.729804e+06 ) 
250 ( -1.850569e+06 , -1.941600e+06 ) 
251 ( 2.523262e+06 , -3.813722e+05 ) 
252 ( 2.489100e+06 , -1.008266e+06 ) 
253 ( -4.221387e+05 , 2.564167e+06 ) 
254 ( 5.933262e+06 , 4.080438e+06 ) 
255 ( -1.564088e+06 , 3.822923e+04 ) 
256 ( -2.332924e+06 , -6.026831e+05 ) 
257 ( 4.219034e+06 , 5.806403e+06 ) 
258 ( 7.725736e+06 , 3.177628e+06 ) 
259 ( -2.370942e+05 , 1.429227e+06 ) 
260 ( 6.082135e+06 , 5.272927e+06 ) 
261 ( -1.194123e+06 , -1.220819e+06 ) 
262 ( -1.868117e+06 , -4.625924e+05 ) 
263 ( -5.289507e+05 , 1.043838e+05 ) 
264 ( 4.457278e+06 , 1.166314e+06 ) 
265 ( 2.928311e+05 , -8.060487e+05 ) 
266 ( 2.103391e+06 , 2.016466e+06 ) 
267 ( 1.236525e+05 , 2.586806e+06 ) 
268 ( -1.531475e+06 , 2.684268e+05 ) 
269 ( -4.601587e+06 , 1.994566e+06 ) 
270 ( -9.897139e+05 , 4.225590e+05 ) 
271 ( 2.317005e+06 , -8.131518e+05 ) 
272 ( 1.697633e+06 , 1.930488e+06 ) 
273 ( -9.361553e+04 , -9.420675e+05 ) 
274 ( 3.134076e+06 , 9.317770e+05 ) 
275 ( 3.124319e+06 , 8.531467e+04 ) 
276 ( 1.225809e+06 , 7.909489e+04 ) 
277 ( -3.832015e+05 , 1.111813e+06 ) 
278 ( -2.745943e+06 , -6.656256e+04 ) 
279 ( 1.085361e+06 , -3.082472e+05 ) 
280 ( 2.490094e+06 , 1.217521e+06 ) 
281 ( -3.817130e+06 , 8.220517e+05 ) 
282 ( 6.665456e+05 , -4.826358e+05 ) 
283 ( 4.179346e+05 , -2.770099e+06 ) 
284 ( -2.936577e+06 , -8.986176e+05 ) 
285 ( 2.879684e+06 , 9.778297e+05 ) 
286 ( 3.185194e+06 , 4.090227e+05 ) 
287 ( 2.748820e+06 , 1.261415e+05 ) 
288 ( 3.148578e+06 , 3.690470e+05 ) 
289 ( -1.573217e+06 , -1.488172e+06 ) 
290 ( 2.374082e+06 , 1.373303e+05 ) 
291 ( 1.062355e+06 , -9.747797e+05 ) 
292 ( 2.580413e+06 , -3.327151e+05 ) 
293 ( 3.929441e+06 , 1.808657e+06 ) 
294 ( 2.626953e+06 , 3.360668e+06 ) 
295 ( 1.767254e+06 , 2.452061e+06 ) 
296 ( 4.191520e+06 , 1.715103e+06 ) 
297 ( -9.739457e+05 , 6.656561e+05 ) 
298 ( 3.983870e+05 , -1.474297e+06 ) 
299 ( -1.264324e+06 , -1.078978e+06 ) 
300 ( 9.946735e+05 , 2.088118e+06 ) 
301 ( -1.924375e+06 , -4.360017e+05 ) 
302 ( 5.386191e+05 , 3.710510e+05 ) 
303 ( 4.876032e+06 , -3.878558e+05 ) 
304 ( -3.655069e+05 , -1.647923e+06 ) 
305 ( -1.284377e+06 , 3.187042e+06 ) 
306 ( -4.283763e+06 , -3.059244e+06 ) 
307 ( -3.899107e+06 , -3.333129e+06 ) 
308 ( -1.297761e+05 , 3.253920e+05 ) 
309 ( -7.185014e+05 , -6.591889e+05 ) 
310 ( 4.074417e+06 , -1.643964e+06 ) 
311 ( 2.070275e+06 , -4.772264e+06 ) 
312 ( -6.752741e+06 , -4.237080e+06 ) 
313 ( 2.193045e+06 , 1.985026e+06 ) 
314 ( 2.386671e+06 , 3.193493e+06 ) 
315 ( 1.170802e+06 , 2.140170e+06 ) 
316 ( 6.676320e+05 , 9.434728e+05 ) 
317 ( 1.420653e+05 , 1.076606e+06 ) 
318 ( -4.506012e+06 , -8.925794e+05 ) 
319 ( 7.169665e+05 , -1.451186e+06 ) 
320 ( 1.620319e+06 , 2.031102e+06 ) 
321 ( -3.914636e+06 , 1.217622e+06 ) 
322 ( -4.504062e+05 , 6.655811e+05 ) 
323 ( 6.720992e+05 , 2.198304e+06 ) 
324 ( 4.324061e+06 , 3.137644e+06 ) 
325 ( -3.033073e+06 , -1.779203e+06 ) 
326 ( -3.923280e+06 , -3.797575e+06 ) 
327 ( -4.593702e+05 , -1.738988e+06 ) 
328 ( 4.420432e+06 , -9.857112e+05 ) 
329 ( -7.501024e+06 , -2.530867e+06 ) 
330 ( -5.547244e+06 , -3.767174e+06 ) 
331 ( 1.714112e+06 , -3.366705e+06 ) 
332 ( 6.470632e+04 , -4.517217e+06 ) 
333 ( -2.661926e+05 , -2.685556e+05 ) 
334 ( 3.215966e+06 , 1.007374e+06 ) 
335 ( -1.356028e+06 , 2.112347e+05 ) 
336 ( -3.493678e+06 , -2.288951e+06 ) 
337 ( -2.675875e+05 , 2.214222e+06 ) 
338 ( 6.074790e+06 , -1.249341e+06 ) 
339 ( -1.301764e+05 , -8.780279e+05 ) 
340 ( 2.793320e+05 , 1.516188e+06 ) 
341 ( 2.592662e+06 , -3.412656e+06 ) 
342 ( -3.291772e+06 , -5.025351e+06 ) 
343 ( -1.020034e+07 , -4.085053e+06 ) 
344 ( 5.851988e+05 , -3.471160e+06 ) 
345 ( 1.948942e+06 , -1.239345e+06 ) 
346 ( -2.825904e+05 , -1.130261e+06 ) 
347 ( -2.289604e+06 , -1.473783e+06 ) 
348 ( -1.348917e+06 , -3.803516e+06 ) 
349 ( 1.288625e+06 , -1.688575e+06 ) 
350 ( 8.489794e+05 , -3.475806e+06 ) 
351 ( -2.364667e+06 , -2.157478e+06 ) 
352 ( -1.100381e+05 , -1.333026e+06 ) 
353 ( 1.948409e+06 , -3.277525e+06 ) 
354 ( 1.382615e+06 , -5.468895e+05 ) 
355 ( 1.787107e+06 , -4.939287e+05 ) 
356 ( 2.054919e+06 , -3.490144e+06 ) 
357 ( -2.893993e+04 , -8.811242e+04 ) 
358 ( -3.371924e+06 , -4.086438e+05 ) 
359 ( -3.104570e+06 , 1.719626e+06 ) 
360 ( -3.627026e+05 , 6.392453e+05 ) 
361 ( -1.163823e+06 , -1.773729e+06 ) 
362 ( -1.192889e+06 , -1.451142e+06 ) 
363 ( -9.605254e+05 , -1.135058e+06 ) 
364 ( -2.993571e+06 , -1.532290e+06 ) 
365 ( -5.593123e+05 , 7.509033e+05 ) 
366 ( -2.221939e+06 , -1.024678e+06 ) 
367 ( -4.797207e+05 , -5.874917e+05 ) 
368 ( -6.705848e+05 , -7.145489e+05 ) 
369 ( -1.744618e+06 , -1.962909e+06 ) 
370 ( -4.141021e+05 , -1.088353e+06 ) 
371 ( -8.841937e+05 , -1.185927e+06 ) 
372 ( -2.352520e+06 , -1.797675e+06 ) 
373 ( 3.701476e+06 , 5.765150e+05 ) 
374 ( 1.155921e+06 , 1.714898e+06 ) 
375 ( -6.174338e+05 , 1.819401e+06 ) 
376 ( 1.185451e+06 , 4.290670e+05 ) 
377 ( -1.224385e+05 , -2.712746e+06 ) 
378 ( 1.396977e+06 , -1.088069e+06 ) 
379 ( -3.406061e+05 , 8.826013e+05 ) 
380 ( 7.494389e+05 , 7.211598e+05 ) 
381 ( 2.554984e+06 , -2.873847e+06 ) 
382 ( -1.090748e+05 , 1.804357e+06 ) 
383 ( 9.438711e+05 , 3.513685e+06 ) 
384 ( 2.371726e+06 , -5.101027e+05 ) 
385 ( -1.589936e+06 , 1.335031e+06 ) 
386 ( -3.551213e+06 , -1.699742e+05 ) 
387 ( -4.279575e+06 , 9.489733e+05 ) 
388 ( -2.413452e+06 , 1.934340e+06 ) 
389 ( 6.806860e+05 , -2.722593e+06 ) 
390 ( 7.547955e+05 , -2.468902e+06 ) 
391 ( 1.181437e+06 , 1.925506e+05 ) 
392 ( -1.390221e+06 , -1.286421e+06 ) 
393 ( -1.396676e+06 , 3.806414e+05 ) 
394 ( -2.853542e+06 , -6.391308e+05 ) 
395 ( -9.516359e+05 , -7.598601e+05 ) 
396 ( -8.627348e+05 , -3.516778e+05 ) 
397 ( -8.916806e+05 , 1.797138e+06 ) 
398 ( -3.656819e+05 , 2.105410e+06 ) 
399 ( -1.741498e+06 , 1.207262e+06 ) 
400 ( -2.788460e+06 , 2.641406e+05 ) 
401 ( 1.996588e+06 , 8.522877e+04 ) 
402 ( 1.006028e+06 , 1.377591e+06 ) 
403 ( 2.191857e+05 , 1.701312e+06 ) 
404 ( 1.849338e+06 , 2.064524e+06 ) 
405 ( 3.416605e+06 , 1.890742e+04 ) 
406 ( 3.921237e+06 , 4.194252e+06 ) 
407 ( -7.405073e+05 , 3.966555e+06 ) 
408 ( -2.440177e+05 , 1.955215e+06 ) 
409 ( -1.728525e+06 , 1.645044e+06 ) 
410 ( 1.033814e+06 , 6.573817e+05 ) 
411 ( -1.116049e+06 , 2.771204e+06 ) 
412 ( 8.194599e+06 , 4.173191e+06 ) 
413 ( -2.008948e+05 , -1.670217e+06 ) 
414 ( -5.262422e+06 , -7.368538e+05 ) 
415 ( -1.075200e+06 , -1.411339e+06 ) 
416 ( 2.229231e+05 , -1.154719e+06 ) 
417 ( -6.202805e+06 , -9.189228e+05 ) 
418 ( 8.645985e+06 , 3.811417e+06 ) 
419 ( 5.979074e+06 , 5.229417e+06 ) 
420 ( 4.325139e+06 , 1.109107e+06 ) 
421 ( -2.383862e+06 , 6.202394e+05 ) 
422 ( -1.052641e+06 , 1.530282e+06 ) 
423 ( -7.220062e+05 , 3.398309e+06 ) 
424 ( 9.410404e+06 , 3.672451e+06 ) 
425 ( -5.894456e+06 , -1.142831e+06 ) 
426 ( -8.136723e+05 , -8.085010e+04 ) 
427 ( 5.074879e+06 , 6.855654e+05 ) 
428 ( 3.787646e+06 , 4.996303e+05 ) 
429 ( 1.261776e+06 , 8.479680e+05 ) 
430 ( 2.143154e+06 , 1.376911e+06 ) 
431 ( -8.054535e+05 , 1.015247e+05 ) 
432 ( -5.173349e+05 , 3.469358e+05 ) 
433 ( -2.396276e+06 , 2.087788e+06 ) 
434 ( 5.606803e+06 , 4.189451e+05 ) 
435 ( 5.592896e+05 , -1.141637e+06 ) 
436 ( -1.463845e+06 , 1.383942e+06 ) 
437 ( 1.521448e+06 , -1.527095e+05 ) 
438 ( 2.131138e+06 , 1.900557e+05 ) 
439 ( 2.496858e+06 , -8.146515e+05 ) 
440 ( 3.283559e+06 , 5.270936e+04 ) 
441 ( 5.433199e+05 , -5.608077e+04 ) 
442 ( 1.239314e+06 , -1.801276e+05 ) 
443 ( 7.591309e+05 , -5.435173e+05 ) 
444 ( 1.780740e+06 , 2.640664e+05 ) 
445 ( 4.083413e+05 , -3.596360e+05 ) 
446 ( 1.729590e+06 , 3.901646e+04 ) 
447 ( 2.859716e+06 , -6.034066e+05 ) 
448 ( 1.784213e+06 , -3.006495e+05 ) 
449 ( -2.106958e+06 , 7.938225e+05 ) 
450 ( -2.622827e+06 , -1.608610e+06 ) 
451 ( -1.897613e+04 , -1.530253e+06 ) 
452 ( 4.327306e+05 , -1.025296e+05 ) 
453 ( -1.758853e+06 , 2.459629e+05 ) 
454 ( 1.506804e+04 , -5.541144e+05 ) 
455 ( -7.862859e+04 , -2.666460e+06 ) 
456 ( -2.468577e+06 , -2.059511e+06 ) 
457 ( 3.845333e+05 , 3.421107e+06 ) 
458 ( 6.117565e+05 , -1.195776e+05 ) 
459 ( 1.507886e+06 , -2.373325e+06 ) 
460 ( 1.165716e+06 , 5.027506e+05 ) 
461 ( -2.597782e+06 , -6.133584e+04 ) 
462 ( 1.719391e+06 , -1.424365e+06 ) 
463 ( 2.365814e+06 , -3.866720e+06 ) 
464 ( 3.435236e+05 , -1.385549e+06 ) 
465 ( 2.228366e+06 , 2.035010e+06 ) 
466 ( 2.585483e+06 , 2.877473e+06 ) 
467 ( 2.535310e+06 , 3.347351e+05 ) 
468 ( 3.082541e+06 , 2.634712e+05 ) 
469 ( -4.644598e+05 , 1.550061e+06 ) 
470 ( 1.297588e+06 , 6.036787e+05 ) 
471 ( 2.691326e+05 , -1.009631e+06 ) 
472 ( 1.508266e+06 , 2.464782e+06 ) 
473 ( -1.969537e+05 , 8.555265e+05 ) 
474 ( 6.747679e+05 , 1.432080e+06 ) 
475 ( -4.902541e+05 , 3.920573e+05 ) 
476 ( -1.771744e+05 , 2.516482e+05 ) 
477 ( 6.937920e+05 , 5.749706e+04 ) 
478 ( 2.191830e+06 , 1.827432e+05 ) 
479 ( 2.251717e+06 , 1.596109e+05 ) 
480 ( 1.822829e+06 , 1.186843e+06 ) 
481 ( -5.545173e+05 , 1.077707e+06 ) 
482 ( 6.789279e+05 , 8.284235e+05 ) 
483 ( 1.484090e+06 , 1.901951e+05 ) 
484 ( 1.845304e+06 , 3.411362e+05 ) 
485 ( -7.113350e+05 , 4.857992e+05 ) 
486 ( -8.584255e+05 , -1.726031e+06 ) 
487 ( 9.118628e+05 , -1.426636e+06 ) 
488 ( 5.642591e+05 , 1.565570e+05 ) 
489 ( -2.933828e+06 , 2.225682e+06 ) 
490 ( -2.806685e+06 , 7.474288e+05 ) 
491 ( -2.603618e+05 , -1.955482e+06 ) 
492 ( -1.652544e+06 , -1.515101e+06 ) 
493 ( -2.129912e+06 , 1.614279e+06 ) 
494 ( -8.104338e+05 , -8.526980e+05 ) 
495 ( -2.805032e+05 , -9.677299e+04 ) 
496 ( -2.400256e+06 , 1.080627e+06 ) 
497 ( -6.174838e+05 , -1.132436e+06 ) 
498 ( -2.837478e+05 , 9.472637e+05 ) 
499 ( 1.183897e+06 , 5.729007e+04 ) 
500 ( 1.499388e+05 , -1.411744e+06 ) 
501 ( 1.011845e+06 , 5.082558e+06 ) 
502 ( -3.220134e+06 , 2.308764e+06 ) 
503 ( -2.700654e+06 , 7.331970e+05 ) 
504 ( -9.803418e+05 , 2.528624e+06 ) 
505 ( -2.308078e+06 , 2.189089e+06 ) 
506 ( -2.582296e+06 , 1.949005e+05 ) 
507 ( -3.114400e+06 , -1.473619e+06 ) 
508 ( -3.836480e+06 , 9.768762e+05 ) 
509 ( 2.100908e+06 , 1.263768e+06 ) 
510 ( 3.312786e+05 , 2.118245e+06 ) 
511 ( -4.534245e+05 , 2.850142e+06 ) 
